PAPEL,Ano,P/L,P/RECEITA (PSR),P/VP,DIVIDEND YIELD (DY),PAYOUT,MARGEM LÍQUIDA,MARGEM BRUTA,MARGEM EBIT,MARGEM EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO CIRC LIQ,VPA,LPA,GIRO ATIVOS,ROE,ROIC,ROA,DÍVIDA LÍQUIDA / EBITDA,DÍVIDA LÍQUIDA / EBIT,DÍVIDA BRUTA / PATRIMÔNIO,PATRIMÔNIO / ATIVOS,PASSIVOS / ATIVOS,LIQUIDEZ CORRENTE,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,Valor de mercado,Valor de firma,Patrimônio Líquido,Nº total de papeis,Ativos,Ativo Circulante,Dívida Bruta,Dívida Líquida,Disponibilidade,Segmento de Listagem,Free Float,Tag Along,Liquidez Média Diária,Setor,Segmento,Rentab_1M,Rentab_3M,Rentab_1A,Rentab_2A,Rentab_5A,Rentab_10A
BRAV,Atual,5.82,0.90,0.75,-,-,"15,44%","28,96%","29,34%","46,82%",4.50,7.19,1.92,3.06,0.21,4.49,-0.25,26.39,3.38,0.23,"12,81%","7,83%","3,59%",2.58,4.12,1.38,0.28,0.72,1.37,"118,45%",-,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
BRAV,2024,-11.99,1.25,1.04,"1,64%","-19,62%","-10,44%","26,68%","28,62%","42,90%",6.47,9.69,2.92,4.37,0.25,2.90,-0.31,22.67,-1.96,0.20,"-8,65%","7,05%","-2,05%",3.55,5.32,1.80,0.24,0.76,1.69,"206,24%",-%,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
BRAV,2023,30.10,2.17,2.22,"0,00%","0,00%","7,21%","31,28%","22,52%","33,56%",10.37,15.45,6.47,9.64,0.61,19.39,-0.76,11.83,0.87,0.28,"7,38%","7,46%","2,11%",3.90,5.81,1.69,0.27,0.72,1.19,-%,-%,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
BRAV,2022,117.16,10.17,4.09,"0,00%","0,00%","8,68%","51,49%","15,74%","31,95%",32.24,65.46,31.84,64.64,2.20,25.80,-2.74,9.23,0.32,0.22,"3,49%","-1,33%","1,60%",0.40,0.81,0.25,0.54,0.46,1.76,-%,-%,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
BRAV,2021,-17497.99,21.40,3.79,"0,00%","0,00%","-0,12%","56,10%","57,03%","53,46%",33.70,31.59,40.03,37.52,2.86,7.25,-5.68,8.85,-0.00,0.13,"-0,02%","8,53%","0,29%",-6.32,-5.93,0.01,0.75,0.23,4.79,-%,-%,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
BRAV,2020,-66.61,84.54,16.03,"0,00%","0,00%","-126,92%","47,99%","-84,39%","-3,75%",-2164.97,-96.09,-2257.18,-100.18,8.19,26.27,-12.91,2.32,-0.56,0.10,"-24,07%","-18,33%","-13,11%",92.22,4.09,0.00,0.51,0.49,6.74,-%,-%,R$ 8.754.418.000,R$ 21.043.182.000,R$ 12.250.519.000,464.179.000,R$ 43.454.299.000,R$ 7.535.744.000,R$ 16.880.450.000,R$ 12.288.764.000,R$ 4.591.686.000,Novo Mercado,"99,91%","100,00%",R$ 136.338.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","0,64%","1,56%","-32,30%","-39,90%","0,00%","0,00%"
CSAN,Atual,-0.92,0.25,1.50,-,-,"-26,95%","31,48%","6,62%","16,88%",8.71,22.19,1.46,3.73,0.09,0.89,-0.11,3.85,-6.29,0.35,"-163,24%","-2,81%","-7,90%",7.24,18.46,9.29,0.06,0.74,1.83,"26,38%",-,R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
CSAN,2024,-1.62,0.35,1.40,"5,53%","-8,94%","-21,44%","31,20%","7,97%","17,85%",9.09,20.34,1.94,4.35,0.11,1.18,-0.14,5.84,-5.05,0.31,"-86,43%","0,37%","-5,78%",7.15,16.00,6.69,0.08,0.72,1.72,"26,51%",-%,R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
CSAN,2023,33.02,0.92,1.72,"2,21%","73,10%","2,77%","27,66%","32,97%","41,49%",5.11,6.43,2.21,2.78,0.26,3.42,-0.32,11.23,0.59,0.28,"5,22%","15,32%","3,49%",2.90,3.65,2.97,0.15,0.64,1.66,"30,82%","20,74%",R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
CSAN,2022,27.17,0.80,1.55,"2,50%","67,95%","2,96%","22,61%","19,78%","27,37%",6.91,9.56,2.94,4.07,0.24,3.27,-0.29,11.06,0.63,0.30,"5,69%","9,91%","2,10%",3.97,5.50,2.74,0.15,0.64,1.62,"38,95%","13,31%",R$ 10.042.151.000,R$ 63.290.197.000,R$ 7.191.060.000,1.866.570.000,R$ 126.036.274.000,R$ 26.882.697.000,R$ 66.775.935.000,R$ 53.248.046.000,R$ 13.527.889.000,Novo Mercado,"62,18%","100,00%",R$ 102.584.000,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","-9,73%","-30,22%","-61,41%","-69,08%","-71,27%","66,59%"
